"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2021","1,375.95","1,233.22","1,415.69","1,233.22","416.83K","11.57%"
"01/17/2021","1,233.22","1,228.50","1,389.97","1,110.07","770.39K","0.38%"
"01/10/2021","1,228.51","1,333.96","1,339.14","984.99","908.71K","2.19%"
"01/03/2021","1,202.23","774.56","1,202.23","774.56","487.22K","55.22%"
"12/27/2020","774.55","636.67","779.01","636.67","1.05M","21.70%"
"12/20/2020","636.44","658.28","658.28","575.67","987.64K","-3.32%"
"12/13/2020","658.28","568.00","665.40","565.22","1.54M","15.92%"
"12/06/2020","567.90","596.44","603.27","541.28","1.65M","-4.79%"
"11/29/2020","596.44","536.19","617.68","536.19","1.50M","10.92%"
"11/22/2020","537.74","552.59","617.89","501.45","1.97M","-2.63%"
"11/15/2020","552.23","461.19","552.23","443.72","2.24M","19.62%"
"11/08/2020","461.67","435.05","463.25","435.05","1.57M","6.12%"
"11/01/2020","435.05","386.36","462.24","380.83","2.45M","12.56%"
"10/25/2020","386.52","412.16","412.16","382.74","2.22M","-6.22%"
"10/18/2020","412.17","368.40","416.94","368.40","2.48M","11.85%"
"10/11/2020","368.51","370.68","385.07","365.71","2.29M","-0.58%"
"10/04/2020","370.68","345.90","373.49","337.42","1.77M","7.16%"
"09/27/2020","345.90","353.95","367.63","339.15","2.16M","-2.28%"
"09/20/2020","353.96","385.15","385.15","324.67","2.17M","-8.10%"
"09/13/2020","385.17","387.84","392.60","359.88","2.98M","-0.73%"
"09/06/2020","388.01","335.18","388.01","327.61","3.34M","15.79%"
"08/30/2020","335.11","399.00","472.18","335.11","3.57M","-16.01%"
"08/23/2020","399.00","395.28","406.30","381.42","2.47M","0.94%"
"08/16/2020","395.30","432.21","432.21","386.55","2.41M","-8.51%"
"08/09/2020","432.09","396.61","442.44","374.26","2.97M","8.90%"
"08/02/2020","396.78","387.05","400.83","360.24","3.61M","2.53%"
"07/26/2020","386.99","305.16","386.99","300.83","3.61M","26.81%"
"07/19/2020","305.18","235.72","305.18","233.85","2.39M","29.47%"
"07/12/2020","235.72","239.15","244.79","230.50","1.30M","-1.43%"
"07/05/2020","239.13","229.10","247.14","223.83","1.67M","4.38%"
"06/28/2020","229.10","220.98","232.13","218.05","1.44M","3.67%"
"06/21/2020","220.98","228.80","249.05","216.65","1.90M","-3.42%"
"06/14/2020","228.80","238.12","238.49","218.74","1.79M","-3.91%"
"06/07/2020","238.10","241.93","249.81","226.55","1.97M","-1.62%"
"05/31/2020","242.03","243.65","253.50","225.99","4.67M","-0.64%"
"05/24/2020","243.60","206.62","246.74","197.00","5.35M","17.92%"
"05/17/2020","206.58","200.47","216.95","192.05","6.21M","3.01%"
"05/10/2020","200.54","210.05","210.05","176.43","5.58M","-4.52%"
"05/03/2020","210.05","214.08","218.88","195.01","7.23M","-1.79%"
"04/26/2020","213.88","194.00","227.04","190.16","8.47M","10.11%"
"04/19/2020","194.24","187.53","197.94","167.18","10.41M","3.62%"
"04/12/2020","187.45","158.29","189.38","148.67","9.81M","18.43%"
"04/05/2020","158.29","144.13","176.07","140.85","11.35M","9.89%"
"03/29/2020","144.05","130.95","149.41","124.00","8.00M","10.05%"
"03/22/2020","130.89","132.52","143.23","120.08","10.06M","-1.39%"
"03/15/2020","132.74","122.51","151.93","101.30","12.81M","8.28%"
"03/08/2020","122.58","237.23","237.23","91.52","11.58M","-48.32%"
"03/01/2020","237.21","217.46","251.63","212.79","7.58M","9.10%"
"02/23/2020","217.43","261.53","276.99","210.25","9.43M","-16.89%"
"02/16/2020","261.63","264.97","285.62","237.67","6.52M","-1.22%"
"02/09/2020","264.85","223.07","288.10","216.74","5.24M","18.68%"
"02/02/2020","223.15","183.61","227.65","179.31","3.89M","21.53%"
"01/26/2020","183.62","160.18","186.94","159.47","2.77M","14.46%"
"01/19/2020","160.43","174.19","177.94","155.78","2.56M","-7.90%"
"01/12/2020","174.19","142.47","179.45","141.85","4.14M","22.21%"
"01/05/2020","142.53","134.19","147.92","134.19","3.73M","6.23%"
"12/29/2019","134.17","128.06","137.87","125.97","3.54M","4.73%"
"12/22/2019","128.12","127.07","134.83","122.80","3.06M","0.83%"
"12/15/2019","127.07","141.82","143.90","116.17","3.55M","-10.41%"
"12/08/2019","141.84","147.14","151.55","139.54","2.62M","-3.61%"
"12/01/2019","147.14","151.35","152.35","143.49","3.34M","-2.88%"
"11/24/2019","151.51","151.81","157.22","131.53","4.92M","-0.14%"
"11/17/2019","151.73","182.35","186.00","138.18","4.90M","-16.79%"
"11/10/2019","182.35","184.85","191.59","178.00","4.04M","-1.36%"
"11/03/2019","184.87","182.93","194.26","179.09","4.56M","1.04%"
"10/27/2019","182.96","179.45","192.57","176.28","5.53M","1.90%"
"10/20/2019","179.54","171.86","196.84","153.92","4.50M","4.46%"
"10/13/2019","171.87","179.76","187.86","169.00","3.85M","-4.34%"
"10/06/2019","179.68","176.01","196.39","167.91","3.43M","2.09%"
"09/29/2019","176.01","173.66","185.49","164.48","4.14M","1.29%"
"09/22/2019","173.76","215.03","215.55","150.00","4.25M","-19.21%"
"09/15/2019","215.08","188.19","223.86","185.74","3.59M","14.29%"
"09/08/2019","188.18","177.54","188.72","174.48","3.15M","6.00%"
"09/01/2019","177.53","171.57","182.65","165.66","2.99M","3.46%"
"08/25/2019","171.58","190.72","193.58","164.00","3.03M","-10.03%"
"08/18/2019","190.72","185.54","203.40","181.19","3.23M","2.79%"
"08/11/2019","185.54","206.41","217.07","175.05","3.31M","-10.13%"
"08/04/2019","206.45","222.07","238.89","202.63","2.56M","-7.03%"
"07/28/2019","222.07","207.29","224.42","199.13","2.18M","7.03%"
"07/21/2019","207.48","228.18","229.65","202.17","2.98M","-9.08%"
"07/14/2019","228.20","268.89","269.63","192.14","4.22M","-15.13%"
"07/07/2019","268.89","288.17","317.85","262.21","3.11M","-6.69%"
"06/30/2019","288.17","317.77","323.49","272.89","3.54M","-9.31%"
"06/23/2019","317.77","310.92","366.16","280.18","3.54M","2.25%"
"06/16/2019","310.77","267.83","314.11","261.99","1.17M","16.05%"
"06/09/2019","267.79","243.33","271.78","226.79","308.25K","10.04%"
"06/02/2019","243.34","264.26","273.00","234.84","334.22K","-7.95%"
"05/26/2019","264.36","250.10","287.97","241.14","611.31K","5.68%"
"05/19/2019","250.16","240.62","267.00","231.49","2.47M","3.96%"
"05/12/2019","240.62","192.30","278.57","182.85","4.16M","24.68%"
"05/05/2019","193.00","163.76","204.99","159.36","4.86M","17.90%"
"04/28/2019","163.70","159.31","171.13","152.62","4.90M","2.78%"
"04/21/2019","159.27","172.88","175.57","150.50","5.34M","-7.86%"
"04/14/2019","172.85","162.99","176.62","155.86","4.27M","6.01%"
"04/07/2019","163.05","165.48","185.53","158.31","","-1.47%"
"03/31/2019","165.48","141.72","177.48","139.07","","16.79%"
"03/24/2019","141.69","137.27","145.63","131.74","","3.21%"
"03/17/2019","137.28","140.94","141.91","132.44","","-2.59%"
"03/10/2019","140.94","137.17","144.06","128.66","","2.75%"
"03/03/2019","137.17","132.54","140.18","122.85","","3.49%"
"02/24/2019","132.54","157.79","165.64","127.65","","-15.85%"
"02/17/2019","157.51","122.66","159.39","122.61","","28.41%"
"02/10/2019","122.66","119.15","126.29","115.93","","2.83%"
"02/03/2019","119.28","110.49","122.74","101.55","","7.98%"
"01/27/2019","110.47","115.51","115.80","101.09","","-4.37%"
"01/20/2019","115.51","122.61","123.23","111.49","","-5.79%"
"01/13/2019","122.61","123.37","129.30","112.13","","-0.63%"
"01/06/2019","123.39","152.86","157.37","120.50","","-19.28%"
"12/30/2018","152.85","132.88","159.00","128.71","","15.34%"
"12/23/2018","132.52","115.20","157.21","110.90","","15.00%"
"12/16/2018","115.23","83.85","118.10","83.75","","37.43%"
"12/09/2018","83.85","90.26","98.68","81.63","","-7.13%"
"12/02/2018","90.29","118.07","120.45","81.20","","-23.53%"
"11/25/2018","118.07","114.87","127.13","102.61","","2.65%"
"11/18/2018","115.02","176.37","182.38","111.77","","-34.78%"
"11/11/2018","176.37","213.22","214.32","171.46","","-17.28%"
"11/04/2018","213.22","200.44","224.37","198.77","","6.38%"
"10/28/2018","200.44","204.23","205.56","193.25","","-1.86%"
"10/21/2018","204.23","208.08","211.85","202.38","","-1.85%"
"10/14/2018","208.08","201.25","237.83","194.68","","3.24%"
"10/07/2018","201.55","224.38","232.00","189.30","","-10.17%"
"09/30/2018","224.38","231.31","238.06","216.20","","-2.92%"
"09/23/2018","231.11","241.47","249.39","203.75","","-4.27%"
"09/16/2018","241.43","222.10","254.77","192.65","","8.62%"
"09/09/2018","222.28","196.61","226.86","167.78","","13.15%"
"09/02/2018","196.45","295.31","299.38","190.63","","-33.60%"
"08/26/2018","295.87","277.70","302.45","269.67","","6.54%"
"08/19/2018","277.70","293.97","306.65","259.91","","-5.54%"
"08/12/2018","294.01","318.12","326.88","250.36","","-7.58%"
"08/05/2018","318.12","407.29","413.33","305.00","","-21.89%"
"07/29/2018","407.29","468.39","472.24","397.26","","-13.04%"
"07/22/2018","468.39","460.25","484.96","442.09","","1.56%"
"07/15/2018","461.19","433.19","515.00","431.16","","6.47%"
"07/08/2018","433.19","486.58","493.87","418.46","","-10.84%"
"07/01/2018","485.84","455.63","486.75","444.00","","6.87%"
"06/24/2018","454.62","474.11","474.99","403.43","","-4.11%"
"06/17/2018","474.11","496.13","546.75","448.66","","-4.44%"
"06/10/2018","496.13","592.76","592.90","450.28","","-16.30%"
"06/03/2018","592.76","594.45","629.06","576.00","","-0.06%"
"05/27/2018","593.10","587.77","601.24","507.78","","0.59%"
"05/20/2018","589.62","696.25","729.00","550.49","","-15.32%"
"05/13/2018","696.25","681.24","760.00","0.00","","2.20%"
"05/06/2018","681.24","816.38","848.85","637.89","","-16.55%"
"04/29/2018","816.38","685.05","840.00","635.45","","19.17%"
"04/22/2018","685.05","608.39","716.01","594.18","","12.73%"
"04/15/2018","607.71","502.95","623.00","493.00","","20.83%"
"04/08/2018","502.95","382.59","539.76","379.10","","31.46%"
"04/01/2018","382.59","393.60","417.90","341.63","","-2.80%"
"03/25/2018","393.60","517.00","539.76","366.21","","-23.87%"
"03/18/2018","517.00","547.89","588.66","455.20","","-5.64%"
"03/11/2018","547.89","680.91","748.89","540.00","","-19.54%"
"03/04/2018","680.91","853.59","875.00","624.50","","-20.23%"
"02/25/2018","853.59","826.13","904.65","812.85","","3.31%"
"02/18/2018","826.22","970.83","970.83","793.00","","-14.89%"
"02/11/2018","970.77","859.33","970.77","781.48","","12.97%"
"02/04/2018","859.33","977.47","1,000.00","551.00","","-12.09%"
"01/28/2018","977.47","1,134.30","1,280.00","731.00","","-13.83%"
"01/21/2018","1,134.30","1,178.29","1,200.00","944.97","","-3.73%"
