"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2022","1,706.78","1,709.81","1,716.92","1,698.82","","-0.16%"
"07/14/2022","1,709.45","1,735.70","1,736.94","1,697.48","","-1.49%"
"07/13/2022","1,735.23","1,726.17","1,745.54","1,707.38","","0.55%"
"07/12/2022","1,725.81","1,733.99","1,743.49","1,722.93","","-0.45%"
"07/11/2022","1,733.67","1,742.86","1,744.92","1,731.01","","-0.47%"
"07/08/2022","1,741.82","1,740.05","1,752.50","1,733.24","","0.13%"
"07/07/2022","1,739.61","1,738.93","1,749.14","1,735.95","","0.08%"
"07/06/2022","1,738.30","1,764.87","1,773.06","1,731.75","","-1.48%"
"07/05/2022","1,764.35","1,808.74","1,812.42","1,763.48","","-2.47%"
"07/04/2022","1,809.12","1,812.27","1,814.36","1,803.45","","-0.06%"
"07/01/2022","1,810.18","1,807.31","1,812.09","1,784.10","","0.18%"
"06/30/2022","1,806.89","1,817.80","1,825.90","1,802.20","","-0.56%"
"06/29/2022","1,817.11","1,819.95","1,833.24","1,812.10","","-0.14%"
"06/28/2022","1,819.69","1,822.85","1,830.09","1,818.20","","-0.17%"
"06/27/2022","1,822.73","1,838.15","1,841.34","1,820.40","","-0.19%"
"06/24/2022","1,826.18","1,822.88","1,832.15","1,816.70","","0.21%"
"06/23/2022","1,822.43","1,837.87","1,846.19","1,821.88","","-0.81%"
"06/22/2022","1,837.39","1,832.96","1,848.44","1,823.23","","0.26%"
"06/21/2022","1,832.56","1,838.37","1,844.15","1,828.29","","-0.31%"
"06/20/2022","1,838.29","1,840.40","1,846.42","1,834.49","","-0.06%"
"06/17/2022","1,839.35","1,857.34","1,858.29","1,833.72","","-0.93%"
"06/16/2022","1,856.71","1,833.99","1,857.91","1,815.95","","1.27%"
"06/15/2022","1,833.38","1,808.35","1,841.74","1,807.24","","1.40%"
"06/14/2022","1,808.10","1,819.10","1,832.19","1,804.65","","-0.59%"
"06/13/2022","1,818.77","1,875.80","1,877.38","1,818.90","","-2.79%"
"06/10/2022","1,870.96","1,848.09","1,876.47","1,825.02","","1.26%"
"06/09/2022","1,847.61","1,853.53","1,855.52","1,839.60","","-0.30%"
"06/08/2022","1,853.26","1,852.51","1,859.90","1,844.35","","0.07%"
"06/07/2022","1,851.97","1,841.60","1,855.86","1,836.73","","0.60%"
"06/06/2022","1,841.00","1,850.29","1,858.15","1,840.50","","-0.53%"
"06/03/2022","1,850.77","1,868.53","1,874.30","1,847.02","","-0.93%"
"06/02/2022","1,868.13","1,846.44","1,870.69","1,843.76","","1.22%"
"06/01/2022","1,845.55","1,837.37","1,850.40","1,828.28","","0.46%"
"05/31/2022","1,837.09","1,856.40","1,857.69","1,834.90","","-1.03%"
"05/30/2022","1,856.21","1,852.19","1,864.34","1,847.92","","0.19%"
"05/27/2022","1,852.73","1,850.48","1,862.30","1,847.76","","0.16%"
"05/26/2022","1,849.82","1,853.48","1,854.71","1,841.14","","-0.16%"
"05/25/2022","1,852.83","1,865.09","1,868.40","1,842.94","","-0.70%"
"05/24/2022","1,865.90","1,853.59","1,869.99","1,849.06","","0.68%"
"05/23/2022","1,853.22","1,846.53","1,865.65","1,844.08","","0.41%"
"05/20/2022","1,845.68","1,842.12","1,849.59","1,832.35","","0.22%"
"05/19/2022","1,841.72","1,816.60","1,849.46","1,810.55","","1.44%"
"05/18/2022","1,815.61","1,815.20","1,825.02","1,807.30","","0.05%"
"05/17/2022","1,814.67","1,824.18","1,836.55","1,812.68","","-0.50%"
"05/16/2022","1,823.79","1,811.05","1,827.23","1,786.95","","0.70%"
"05/13/2022","1,811.15","1,822.48","1,829.06","1,799.24","","-0.58%"
"05/12/2022","1,821.65","1,852.58","1,859.30","1,820.93","","-1.65%"
"05/11/2022","1,852.12","1,838.41","1,857.99","1,831.83","","0.76%"
"05/10/2022","1,838.14","1,853.74","1,865.76","1,835.46","","-0.85%"
"05/09/2022","1,853.92","1,883.80","1,885.95","1,851.36","","-1.54%"
"05/06/2022","1,882.96","1,877.30","1,892.93","1,865.84","","0.32%"
"05/05/2022","1,877.01","1,881.47","1,910.03","1,872.48","","-0.22%"
"05/04/2022","1,881.21","1,868.04","1,889.74","1,861.17","","0.72%"
"05/03/2022","1,867.79","1,863.05","1,878.19","1,850.33","","0.27%"
"05/02/2022","1,862.77","1,896.09","1,900.10","1,854.74","","-1.77%"
"04/29/2022","1,896.40","1,894.43","1,919.97","1,892.25","","0.11%"
"04/28/2022","1,894.34","1,886.14","1,897.32","1,872.19","","0.46%"
"04/27/2022","1,885.74","1,905.45","1,907.25","1,881.39","","-1.04%"
"04/26/2022","1,905.56","1,897.95","1,911.50","1,895.38","","0.41%"
"04/25/2022","1,897.69","1,931.09","1,934.71","1,891.05","","-1.66%"
"04/22/2022","1,929.73","1,951.49","1,955.93","1,926.52","","-1.12%"
"04/21/2022","1,951.49","1,957.84","1,958.00","1,936.79","","-0.30%"
"04/20/2022","1,957.41","1,950.34","1,958.57","1,939.16","","0.39%"
"04/19/2022","1,949.84","1,979.19","1,982.31","1,943.80","","-1.45%"
"04/18/2022","1,978.50","1,972.84","1,998.60","1,971.05","","0.20%"
"04/15/2022","1,974.54","1,974.28","1,975.69","1,973.05","","0.05%"
"04/14/2022","1,973.52","1,977.78","1,980.81","1,960.90","","-0.21%"
"04/13/2022","1,977.72","1,967.21","1,981.82","1,962.59","","0.57%"
"04/12/2022","1,966.59","1,953.99","1,978.63","1,949.48","","0.67%"
"04/11/2022","1,953.43","1,947.15","1,969.41","1,940.05","","0.39%"
"04/08/2022","1,945.85","1,931.92","1,948.46","1,927.38","","0.71%"
"04/07/2022","1,932.17","1,925.32","1,938.07","1,920.27","","0.36%"
"04/06/2022","1,925.32","1,923.69","1,933.65","1,915.24","","0.09%"
"04/05/2022","1,923.53","1,933.38","1,944.73","1,917.74","","-0.46%"
"04/04/2022","1,932.44","1,924.94","1,937.05","1,915.55","","0.42%"
"04/01/2022","1,924.30","1,937.51","1,939.99","1,917.56","","-0.67%"
"03/31/2022","1,937.23","1,932.80","1,949.92","1,918.98","","0.22%"
"03/30/2022","1,933.06","1,920.07","1,938.53","1,915.74","","0.72%"
"03/29/2022","1,919.19","1,922.95","1,929.41","1,890.03","","-0.21%"
"03/28/2022","1,923.20","1,958.75","1,959.36","1,916.83","","-1.75%"
"03/25/2022","1,957.40","1,957.49","1,964.49","1,943.55","","0.00%"
"03/24/2022","1,957.48","1,944.88","1,966.19","1,937.18","","0.72%"
"03/23/2022","1,943.42","1,922.35","1,948.55","1,915.32","","1.14%"
"03/22/2022","1,921.44","1,935.86","1,938.59","1,910.89","","-0.75%"
"03/21/2022","1,935.95","1,922.24","1,940.69","1,918.01","","0.77%"
"03/18/2022","1,921.09","1,942.90","1,945.51","1,917.93","","-1.11%"
"03/17/2022","1,942.64","1,927.56","1,950.10","1,923.40","","0.76%"
"03/16/2022","1,927.93","1,918.10","1,929.87","1,895.22","","0.53%"
"03/15/2022","1,917.84","1,951.02","1,954.95","1,906.73","","-1.71%"
"03/14/2022","1,951.11","1,985.49","1,990.33","1,949.87","","-1.72%"
"03/11/2022","1,985.29","1,996.15","1,999.22","1,958.80","","-0.53%"
"03/10/2022","1,995.86","1,991.94","2,009.57","1,970.66","","0.22%"
"03/09/2022","1,991.49","2,052.75","2,059.25","1,976.30","","-2.97%"
"03/08/2022","2,052.41","1,998.30","2,070.29","1,981.00","","2.72%"
"03/07/2022","1,998.11","1,977.09","2,002.90","1,960.76","","1.51%"
"03/04/2022","1,968.45","1,935.65","1,970.80","1,929.78","","1.72%"
"03/03/2022","1,935.21","1,926.49","1,941.47","1,921.73","","0.47%"
"03/02/2022","1,926.11","1,943.69","1,948.18","1,913.82","","-0.88%"
"03/01/2022","1,943.22","1,908.19","1,950.45","1,900.93","","1.85%"
"02/28/2022","1,907.90","1,920.86","1,929.36","1,890.59","","1.08%"
"02/25/2022","1,887.56","1,903.55","1,921.54","1,883.10","","-0.82%"
"02/24/2022","1,903.14","1,907.99","1,974.48","1,879.05","","-0.23%"
"02/23/2022","1,907.55","1,898.44","1,911.00","1,889.23","","0.50%"
"02/22/2022","1,898.13","1,905.89","1,914.44","1,891.16","","-0.39%"
"02/21/2022","1,905.63","1,900.40","1,908.38","1,887.19","","0.41%"
"02/18/2022","1,897.87","1,897.94","1,902.84","1,886.16","","0.03%"
"02/17/2022","1,897.27","1,868.84","1,901.57","1,867.18","","1.55%"
"02/16/2022","1,868.37","1,853.40","1,873.16","1,849.94","","0.83%"
"02/15/2022","1,853.06","1,870.94","1,879.89","1,844.27","","-0.92%"
"02/14/2022","1,870.29","1,861.55","1,874.41","1,850.45","","0.56%"
"02/11/2022","1,859.96","1,827.25","1,865.63","1,820.79","","1.83%"
"02/10/2022","1,826.57","1,832.94","1,842.35","1,821.46","","-0.32%"
"02/09/2022","1,832.43","1,826.05","1,836.35","1,824.50","","0.38%"
"02/08/2022","1,825.48","1,820.59","1,829.09","1,815.06","","0.28%"
"02/07/2022","1,820.31","1,806.99","1,824.06","1,806.94","","0.71%"
"02/04/2022","1,807.49","1,804.80","1,815.44","1,790.94","","0.17%"
"02/03/2022","1,804.40","1,807.19","1,809.22","1,788.39","","-0.12%"
"02/02/2022","1,806.50","1,800.94","1,811.53","1,794.11","","0.32%"
"02/01/2022","1,800.65","1,796.72","1,809.16","1,795.13","","0.23%"
"01/31/2022","1,796.47","1,791.19","1,800.23","1,785.03","","0.30%"
"01/28/2022","1,791.03","1,796.94","1,799.82","1,779.88","","-0.30%"
"01/27/2022","1,796.51","1,818.44","1,822.51","1,790.98","","-1.19%"
"01/26/2022","1,818.12","1,847.99","1,850.44","1,814.90","","-1.59%"
"01/25/2022","1,847.56","1,843.34","1,853.98","1,834.64","","0.24%"
"01/24/2022","1,843.06","1,834.49","1,844.53","1,829.09","","0.54%"
"01/21/2022","1,833.24","1,838.65","1,843.53","1,828.04","","-0.28%"
"01/20/2022","1,838.36","1,840.30","1,848.36","1,835.67","","-0.09%"
"01/19/2022","1,839.96","1,813.69","1,843.72","1,809.97","","1.46%"
"01/18/2022","1,813.54","1,819.77","1,823.01","1,805.53","","-0.30%"
"01/17/2022","1,818.99","1,817.90","1,823.72","1,812.67","","0.10%"
"01/14/2022","1,817.22","1,822.55","1,829.66","1,814.13","","-0.27%"
"01/13/2022","1,822.09","1,825.94","1,828.38","1,811.83","","-0.18%"
"01/12/2022","1,825.32","1,822.49","1,828.33","1,814.20","","0.18%"
"01/11/2022","1,822.01","1,801.69","1,823.35","1,800.09","","1.14%"
"01/10/2022","1,801.41","1,795.41","1,802.57","1,790.43","","0.32%"
"01/07/2022","1,795.63","1,789.55","1,799.20","1,782.63","","0.39%"
"01/06/2022","1,788.68","1,809.94","1,811.89","1,786.03","","-1.15%"
"01/05/2022","1,809.53","1,814.90","1,829.82","1,807.97","","-0.28%"
"01/04/2022","1,814.56","1,801.34","1,816.83","1,798.44","","0.76%"
"01/03/2022","1,800.85","1,830.14","1,832.06","1,797.93","","-1.51%"
"12/31/2021","1,828.39","1,815.44","1,830.58","1,814.15","","0.74%"
"12/30/2021","1,815.01","1,803.99","1,817.44","1,795.78","","0.63%"
"12/29/2021","1,803.66","1,805.59","1,808.16","1,788.94","","-0.09%"
"12/28/2021","1,805.37","1,811.84","1,820.70","1,804.38","","-0.31%"
"12/27/2021","1,810.90","1,808.19","1,813.74","1,802.89","","0.15%"
"12/24/2021","1,808.11","1,808.19","1,812.70","1,801.61","","0.01%"
"12/23/2021","1,807.91","1,803.69","1,811.02","1,798.88","","0.25%"
"12/22/2021","1,803.40","1,788.94","1,805.13","1,785.41","","0.84%"
"12/21/2021","1,788.36","1,789.74","1,800.85","1,784.58","","-0.05%"
"12/20/2021","1,789.32","1,799.40","1,804.32","1,787.98","","-0.47%"
"12/17/2021","1,797.68","1,799.55","1,814.63","1,795.67","","-0.07%"
"12/16/2021","1,799.03","1,777.40","1,799.53","1,775.43","","1.24%"
"12/15/2021","1,777.06","1,770.49","1,781.04","1,753.84","","0.39%"
"12/14/2021","1,770.18","1,787.19","1,789.74","1,766.31","","-0.94%"
"12/13/2021","1,786.94","1,782.94","1,791.78","1,781.51","","0.25%"
"12/10/2021","1,782.51","1,774.94","1,789.47","1,769.43","","0.45%"
"12/09/2021","1,774.46","1,782.49","1,788.05","1,772.80","","-0.43%"
"12/08/2021","1,782.06","1,784.40","1,793.60","1,779.45","","-0.11%"
"12/07/2021","1,784.04","1,778.08","1,788.02","1,771.93","","0.33%"
"12/06/2021","1,778.11","1,784.79","1,787.87","1,775.91","","-0.32%"
"12/03/2021","1,783.74","1,768.84","1,786.44","1,765.63","","0.85%"
"12/02/2021","1,768.64","1,783.05","1,783.58","1,761.68","","-0.79%"
"12/01/2021","1,782.66","1,774.15","1,794.80","1,771.96","","0.50%"
"11/30/2021","1,773.78","1,785.34","1,809.38","1,769.43","","-0.63%"
"11/29/2021","1,785.01","1,790.05","1,799.80","1,781.23","","-0.38%"
"11/26/2021","1,791.81","1,788.70","1,815.78","1,780.79","","0.19%"
"11/25/2021","1,788.45","1,789.49","1,795.65","1,785.85","","0.00%"
"11/24/2021","1,788.50","1,790.34","1,797.01","1,778.44","","-0.07%"
"11/23/2021","1,789.73","1,805.65","1,812.50","1,781.63","","-0.85%"
"11/22/2021","1,805.04","1,846.74","1,849.49","1,801.95","","-2.14%"
"11/19/2021","1,844.60","1,858.90","1,865.76","1,842.98","","-0.75%"
"11/18/2021","1,858.46","1,866.97","1,871.29","1,854.94","","-0.46%"
"11/17/2021","1,866.96","1,850.34","1,868.32","1,849.38","","0.92%"
"11/16/2021","1,849.91","1,862.94","1,877.40","1,849.16","","-0.67%"
"11/15/2021","1,862.46","1,868.15","1,870.57","1,855.73","","-0.09%"
"11/12/2021","1,864.04","1,861.99","1,868.69","1,844.78","","0.14%"
"11/11/2021","1,861.52","1,849.69","1,866.35","1,842.66","","0.65%"
"11/10/2021","1,849.57","1,831.90","1,868.70","1,821.60","","0.99%"
"11/09/2021","1,831.48","1,824.74","1,833.08","1,817.70","","0.40%"
"11/08/2021","1,824.26","1,818.44","1,826.93","1,812.08","","0.41%"
"11/05/2021","1,816.73","1,792.14","1,818.61","1,785.17","","1.40%"
"11/04/2021","1,791.70","1,769.98","1,799.26","1,769.13","","1.25%"
"11/03/2021","1,769.52","1,787.71","1,788.42","1,758.45","","-0.99%"
"11/02/2021","1,787.28","1,793.61","1,796.91","1,785.78","","-0.32%"
"11/01/2021","1,793.05","1,783.24","1,796.20","1,778.89","","0.57%"
"10/29/2021","1,782.81","1,799.03","1,801.49","1,771.70","","-0.88%"
"10/28/2021","1,798.62","1,796.78","1,810.49","1,792.34","","0.11%"
"10/27/2021","1,796.69","1,793.04","1,799.38","1,782.83","","0.23%"
"10/26/2021","1,792.63","1,807.90","1,808.50","1,781.98","","-0.82%"
"10/25/2021","1,807.47","1,794.00","1,810.18","1,791.95","","0.84%"
"10/22/2021","1,792.48","1,782.89","1,814.22","1,782.46","","0.55%"
"10/21/2021","1,782.76","1,782.10","1,789.61","1,776.07","","0.05%"
"10/20/2021","1,781.83","1,769.28","1,788.68","1,766.50","","0.73%"
"10/19/2021","1,768.87","1,764.99","1,785.53","1,762.48","","0.24%"
"10/18/2021","1,764.60","1,767.74","1,772.30","1,759.68","","-0.15%"
"10/15/2021","1,767.26","1,795.81","1,796.89","1,764.48","","-1.58%"
"10/14/2021","1,795.56","1,792.75","1,800.91","1,786.22","","0.16%"
"10/13/2021","1,792.65","1,760.05","1,796.31","1,757.89","","1.86%"
"10/12/2021","1,759.93","1,754.12","1,769.78","1,750.47","","0.35%"
"10/11/2021","1,753.86","1,757.34","1,761.36","1,749.68","","-0.16%"
"10/08/2021","1,756.67","1,755.89","1,781.60","1,753.03","","0.08%"
"10/07/2021","1,755.29","1,762.74","1,767.45","1,751.38","","-0.41%"
"10/06/2021","1,762.48","1,760.45","1,765.78","1,745.45","","0.14%"
"10/05/2021","1,759.96","1,769.75","1,771.03","1,748.56","","-0.54%"
"10/04/2021","1,769.51","1,762.15","1,771.06","1,747.23","","0.52%"
