"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2021","75.21","73.38","77.44","72.57","1.27M","1.92%"
"12/19/2021","73.79","70.07","73.95","66.04","972.44K","4.13%"
"12/12/2021","70.86","72.04","73.00","69.39","1.28M","-1.13%"
"12/05/2021","71.67","67.02","73.34","66.72","2.15M","8.16%"
"11/28/2021","66.26","69.23","72.93","62.43","3.12M","-2.77%"
"11/21/2021","68.15","75.75","79.23","67.40","2.15M","-10.45%"
"11/14/2021","76.10","80.66","81.81","75.37","958.31K","-5.81%"
"11/07/2021","80.79","81.13","84.97","79.78","2.32M","-0.59%"
"10/31/2021","81.27","83.36","84.88","78.25","2.62M","-2.75%"
"10/24/2021","83.57","83.98","85.41","80.58","2.57M","-0.23%"
"10/17/2021","83.76","82.60","84.25","80.79","1.28M","1.80%"
"10/10/2021","82.28","79.59","82.66","79.42","2.42M","3.69%"
"10/03/2021","79.35","75.90","80.11","74.96","2.57M","4.57%"
"09/26/2021","75.88","74.19","76.67","73.14","2.29M","2.57%"
"09/19/2021","73.98","71.92","74.27","69.67","1.25M","2.79%"
"09/12/2021","71.97","69.74","73.14","69.51","1.64M","3.23%"
"09/05/2021","69.72","69.11","69.96","67.56","1.84M","0.62%"
"08/29/2021","69.29","69.30","70.61","67.12","1.80M","0.80%"
"08/22/2021","68.74","61.96","69.05","61.74","1.76M","10.30%"
"08/15/2021","62.32","67.71","68.27","62.11","804.21K","-8.94%"
"08/08/2021","68.44","67.88","69.62","65.15","2.19M","0.23%"
"08/01/2021","68.28","73.91","73.95","67.61","2.49M","-7.67%"
"07/25/2021","73.95","72.18","74.23","70.56","1.65M","2.61%"
"07/18/2021","72.07","71.49","72.21","65.21","1.33M","0.36%"
"07/11/2021","71.81","74.74","75.52","70.41","1.87M","-3.69%"
"07/04/2021","74.56","75.35","76.98","70.76","2.27M","-0.80%"
"06/27/2021","75.16","73.99","76.22","71.97","2.05M","1.50%"
"06/20/2021","74.05","71.52","74.25","71.15","1.28M","3.36%"
"06/13/2021","71.64","70.65","72.99","69.77","1.60M","1.03%"
"06/06/2021","70.91","69.52","71.24","68.47","2.27M","1.85%"
"05/30/2021","69.62","66.68","69.76","66.41","1.58M","4.98%"
"05/23/2021","66.32","63.87","67.52","63.63","2.07M","4.31%"
"05/16/2021","63.58","65.50","67.01","61.56","1.10M","-2.74%"
"05/09/2021","65.37","65.57","66.63","63.09","2.40M","0.72%"
"05/02/2021","64.90","63.64","66.76","62.91","1.94M","2.08%"
"04/25/2021","63.58","62.06","65.47","60.66","1.90M","2.32%"
"04/18/2021","62.14","62.98","64.25","60.61","1.23M","-1.57%"
"04/11/2021","63.13","59.35","63.88","58.73","1.51M","6.42%"
"04/04/2021","59.32","61.50","61.50","57.63","2.14M","-3.47%"
"03/28/2021","61.45","60.93","62.27","58.85","1.86M","0.79%"
"03/21/2021","60.97","61.55","61.90","57.25","2.36M","-0.73%"
"03/14/2021","61.42","65.56","66.40","58.20","1.18M","-6.39%"
"03/07/2021","65.61","66.68","67.98","63.13","2.35M","-0.73%"
"02/28/2021","66.09","61.95","66.42","59.24","2.65M","7.46%"
"02/21/2021","61.50","58.88","63.81","58.82","2.08M","3.81%"
"02/14/2021","59.24","59.98","62.26","58.59","1.17M","-0.39%"
"02/07/2021","59.47","57.06","59.82","57.00","2.23M","4.61%"
"01/31/2021","56.85","51.99","57.29","51.64","2.11M","8.91%"
"01/24/2021","52.20","52.17","53.58","51.82","1.93M","-0.13%"
"01/17/2021","52.27","52.00","53.79","51.44","953.69K","-0.17%"
"01/10/2021","52.36","52.58","53.93","51.50","1.78M","0.23%"
"01/03/2021","52.24","48.40","52.75","47.18","2.55M","7.67%"
"12/27/2020","48.52","48.23","48.96","47.50","901.09K","0.60%"
"12/20/2020","48.23","48.54","48.62","46.16","835.39K","-1.77%"
"12/13/2020","49.10","46.73","49.28","45.69","1.17M","5.43%"
"12/06/2020","46.57","46.15","47.74","44.95","1.93M","0.67%"
"11/29/2020","46.26","45.34","46.68","43.92","1.74M","1.60%"
"11/22/2020","45.53","42.46","46.26","42.29","1.50M","8.02%"
"11/15/2020","42.15","40.17","42.46","40.15","847.40K","5.03%"
"11/08/2020","40.13","37.34","43.06","37.16","2.26M","8.05%"
"11/01/2020","37.14","35.24","39.35","33.64","2.05M","3.77%"
"10/25/2020","35.79","39.69","39.83","34.92","2.15M","-10.19%"
"10/18/2020","39.85","40.69","41.70","39.57","1.04M","-2.52%"
"10/11/2020","40.88","40.40","41.29","39.04","1.37M","0.69%"
"10/04/2020","40.60","37.00","41.47","37.00","1.95M","9.58%"
"09/27/2020","37.05","40.07","40.80","36.63","1.78M","-7.95%"
"09/20/2020","40.25","40.98","41.27","38.66","907.18K","-2.09%"
"09/13/2020","41.11","37.32","41.49","36.82","1.42M","10.13%"
"09/06/2020","37.33","39.48","39.59","36.13","1.91M","-6.14%"
"08/30/2020","39.77","42.91","43.57","39.35","1.81M","-7.45%"
"08/23/2020","42.97","42.48","43.78","42.23","1.48M","1.49%"
"08/16/2020","42.34","42.24","43.03","41.46","774.15K","0.79%"
"08/09/2020","42.01","41.50","42.94","41.17","1.84M","1.92%"
"08/02/2020","41.22","40.39","43.52","39.58","2.04M","2.36%"
"07/26/2020","40.27","41.26","41.93","38.72","1.76M","-2.47%"
"07/19/2020","41.29","40.64","42.40","39.83","1.16M","1.72%"
"07/12/2020","40.59","40.35","41.26","39.07","1.44M","0.10%"
"07/05/2020","40.55","40.31","41.08","38.54","1.68M","-0.25%"
"06/28/2020","40.65","37.96","40.74","37.50","1.47M","5.61%"
"06/21/2020","38.49","39.18","41.63","37.08","1.71M","-3.17%"
"06/14/2020","39.75","36.03","40.49","34.36","1.17M","9.62%"
"06/07/2020","36.26","39.41","40.44","34.48","2.12M","-8.32%"
"05/31/2020","39.55","35.21","39.68","34.27","1.93M","11.44%"
"05/24/2020","35.49","33.30","35.77","31.14","1.77M","6.74%"
"05/17/2020","33.25","29.53","34.66","29.53","1.33M","12.98%"
"05/10/2020","29.43","24.49","29.92","23.67","811.31K","18.96%"
"05/03/2020","24.74","19.11","26.74","18.05","1.60M","25.08%"
"04/26/2020","19.78","16.84","20.48","10.07","3.02M","16.77%"
"04/19/2020","16.94","17.73","18.26","-40.32","2.94M","-7.28%"
"04/12/2020","18.27","24.60","24.74","17.31","2.70M","-19.73%"
"04/05/2020","22.76","26.09","28.36","22.57","3.50M","-19.69%"
"03/29/2020","28.34","20.93","29.13","19.27","4.23M","31.75%"
"03/22/2020","21.51","22.52","25.24","20.80","3.37M","-4.10%"
"03/15/2020","22.43","33.75","33.75","19.46","1.72M","-29.31%"
"03/08/2020","31.73","32.87","36.35","27.34","5.48M","-23.13%"
"03/01/2020","41.28","43.70","48.66","41.05","4.69M","-7.77%"
"02/23/2020","44.76","52.60","52.64","43.85","4.53M","-16.15%"
"02/16/2020","53.38","52.23","54.50","50.88","1.07M","2.56%"
"02/09/2020","52.05","50.12","52.34","49.42","3.59M","3.44%"
"02/02/2020","50.32","51.01","52.20","49.31","4.14M","-2.40%"
"01/26/2020","51.56","53.70","54.37","50.97","3.52M","-4.85%"
"01/19/2020","54.19","59.17","59.73","53.85","1.96M","-7.43%"
"01/12/2020","58.54","59.04","59.27","57.36","1.83M","-0.85%"
"01/05/2020","59.04","63.71","65.65","58.66","3.86M","-6.36%"
"12/29/2019","63.05","61.71","64.09","60.63","2.29M","2.15%"
"12/22/2019","61.72","60.41","61.97","60.10","1.14M","2.12%"
"12/15/2019","60.44","59.87","61.47","59.71","1.23M","0.62%"
"12/08/2019","60.07","59.11","60.48","58.11","2.71M","1.47%"
"12/01/2019","59.20","55.47","59.85","55.35","3.27M","7.30%"
"11/24/2019","55.17","57.92","58.68","55.02","2.04M","-4.50%"
"11/17/2019","57.77","57.88","58.74","54.76","1.41M","0.09%"
"11/10/2019","57.72","57.40","57.97","56.20","2.53M","0.84%"
"11/03/2019","57.24","56.41","57.88","55.76","2.95M","1.85%"
"10/27/2019","56.20","56.65","56.92","53.71","2.83M","-0.81%"
"10/20/2019","56.66","53.71","56.74","52.71","1.68M","5.36%"
"10/13/2019","53.78","54.90","54.90","52.39","2.02M","-1.68%"
"10/06/2019","54.70","52.69","54.93","51.38","3.20M","3.58%"
"09/29/2019","52.81","56.54","56.57","50.99","2.90M","-5.54%"
"09/22/2019","55.91","59.25","59.39","54.75","2.99M","-3.75%"
"09/15/2019","58.09","61.48","63.38","57.67","2.77M","5.91%"
"09/08/2019","54.85","56.80","58.76","54.00","3.71M","-2.95%"
"09/01/2019","56.52","55.00","57.76","52.84","3.08M","2.58%"
"08/25/2019","55.10","53.25","56.89","52.96","3.29M","1.72%"
"08/18/2019","54.17","54.96","57.13","53.24","2.29M","-1.28%"
"08/11/2019","54.87","54.32","57.47","53.54","2.81M","0.68%"
"08/04/2019","54.50","55.38","55.61","50.52","4.02M","-2.08%"
"07/28/2019","55.66","56.20","58.82","53.59","3.32M","-0.96%"
"07/21/2019","56.20","56.22","57.64","55.33","2.33M","1.02%"
"07/14/2019","55.63","60.25","60.92","54.72","2.10M","-7.61%"
"07/07/2019","60.21","57.77","60.94","57.29","2.83M","4.69%"
"06/30/2019","57.51","59.27","60.28","56.04","2.85M","-1.64%"
"06/23/2019","58.47","57.72","59.93","56.75","3.04M","1.81%"
"06/16/2019","57.43","52.50","57.98","51.50","1.41M","9.37%"
"06/09/2019","52.51","54.24","54.84","50.72","3.64M","-2.74%"
"06/02/2019","53.99","53.42","54.63","50.60","4.38M","0.92%"
"05/26/2019","53.50","58.94","59.70","53.05","4.02M","-8.75%"
"05/19/2019","58.63","62.93","63.81","57.33","2.79M","-6.58%"
"05/12/2019","62.76","61.65","63.64","60.64","3.24M","1.78%"
"05/05/2019","61.66","61.43","62.95","60.04","3.96M","-0.45%"
"04/28/2019","61.94","62.95","64.75","60.95","3.64M","-2.15%"
"04/21/2019","63.30","64.00","66.60","62.28","3.01M","-1.09%"
"04/14/2019","64.00","63.76","64.61","62.99","1.49M","0.17%"
"04/07/2019","63.89","63.33","64.79","63.13","3.79M","1.28%"
"03/31/2019","63.08","60.24","63.34","60.13","3.64M","4.89%"
"03/24/2019","60.14","58.98","60.73","58.17","3.54M","1.86%"
"03/17/2019","59.04","58.45","60.39","58.05","1.70M","0.89%"
"03/10/2019","58.52","56.07","58.95","55.96","2.94M","4.37%"
"03/03/2019","56.07","55.83","57.19","54.52","3.10M","0.48%"
"02/24/2019","55.80","57.17","57.88","55.02","3.02M","-2.55%"
"02/17/2019","57.26","55.78","57.81","55.29","1.25M","3.00%"
"02/10/2019","55.59","52.66","55.87","51.23","3.07M","5.44%"
"02/03/2019","52.72","55.32","55.75","51.80","3.21M","-4.60%"
"01/27/2019","55.26","53.56","55.66","51.33","3.45M","2.92%"
"01/20/2019","53.69","53.73","54.24","51.80","2.06M","-0.20%"
"01/13/2019","53.80","51.73","53.92","50.38","2.63M","4.28%"
"01/06/2019","51.59","48.30","53.31","48.11","4.11M","7.57%"
"12/30/2018","47.96","45.22","49.22","44.35","2.93M","5.80%"
"12/23/2018","45.33","45.45","47.00","42.36","2.34M","-0.57%"
"12/16/2018","45.59","51.25","51.87","45.13","1.86M","-10.96%"
"12/09/2018","51.20","52.03","53.27","50.35","3.39M","-2.68%"
"12/02/2018","52.61","52.45","54.55","50.08","4.10M","3.30%"
"11/25/2018","50.93","50.62","52.56","49.41","3.87M","1.01%"
"11/18/2018","50.42","56.72","57.44","50.15","2.77M","-10.70%"
"11/11/2018","56.46","60.70","61.28","54.75","3.16M","-6.20%"
"11/04/2018","60.19","62.99","64.14","59.26","3.82M","-4.67%"
"10/28/2018","63.14","67.55","67.95","62.63","3.32M","-6.58%"
"10/21/2018","67.59","69.41","69.66","65.74","2.82M","-2.21%"
"10/14/2018","69.12","71.85","72.70","68.47","2.08M","-3.11%"
"10/07/2018","71.34","74.40","75.28","70.51","3.24M","-4.04%"
"09/30/2018","74.34","73.29","76.90","72.95","3.07M","1.49%"
"09/23/2018","73.25","71.14","73.73","71.14","2.59M","3.49%"
"09/16/2018","70.78","68.93","71.81","68.53","1.67M","2.59%"
"09/09/2018","68.99","67.82","71.26","67.33","3.34M","1.83%"
"09/02/2018","67.75","69.89","71.40","66.86","2.49M","-2.94%"
"08/26/2018","69.80","68.57","70.50","68.21","2.12M","1.57%"
"08/19/2018","68.72","65.91","69.31","65.59","1.69M","4.26%"
"08/12/2018","65.91","67.78","68.37","64.43","2.24M","-2.54%"
"08/05/2018","67.63","68.65","69.92","66.14","2.77M","-1.26%"
"07/29/2018","68.49","69.01","70.43","66.92","2.57M","-0.29%"
"07/22/2018","68.69","68.17","69.92","67.56","2.65M","-2.51%"
"07/15/2018","70.46","70.52","71.10","67.03","1.29M","-0.77%"
"07/08/2018","71.01","73.87","74.70","69.23","3.22M","-3.78%"
"07/01/2018","73.80","73.62","75.27","72.14","2.77M","-0.47%"
"06/24/2018","74.15","68.75","74.46","67.72","3.76M","8.12%"
"06/17/2018","68.58","64.40","69.38","63.59","2.27M","5.41%"
"06/10/2018","65.06","65.56","67.16","64.29","2.68M","-1.03%"
"06/03/2018","65.74","65.71","66.24","64.22","3.37M","-0.11%"
"05/27/2018","65.81","67.55","68.67","65.51","3.49M","-3.05%"
"05/20/2018","67.88","71.47","72.83","67.42","2.45M","-4.77%"
"05/13/2018","71.28","70.54","72.30","70.26","2.76M","0.82%"
"05/06/2018","70.70","69.85","71.89","67.63","4.26M","1.41%"
"04/29/2018","69.72","68.15","69.97","66.85","3.62M","2.38%"
"04/22/2018","68.10","68.22","69.38","67.11","3.54M","-0.41%"
"04/15/2018","68.38","67.24","69.56","65.56","1.43M","1.47%"
"04/08/2018","67.39","62.00","67.76","61.93","3.77M","8.59%"
"04/01/2018","62.06","64.91","65.42","61.81","3.21M","-4.43%"
"03/25/2018","64.94","65.90","66.55","63.72","2.52M","-1.43%"
"03/18/2018","65.88","62.23","66.00","61.36","2.36M","5.68%"
"03/11/2018","62.34","62.10","62.54","60.11","2.58M","0.48%"
"03/04/2018","62.04","61.55","63.28","59.95","3.49M","1.29%"
"02/25/2018","61.25","63.60","64.24","60.13","3.23M","-3.62%"
"02/18/2018","63.55","61.63","63.73","60.75","1.57M","3.03%"
"02/11/2018","61.68","59.12","61.99","58.20","2.49M","4.19%"
"02/04/2018","59.20","65.10","65.40","58.07","4.58M","-9.55%"
"01/28/2018","65.45","66.18","66.46","63.67","3.50M","-1.04%"
"01/21/2018","66.14","63.61","66.66","63.17","3.04M","4.37%"
"01/14/2018","63.37","64.43","64.89","62.85","1.66M","-1.45%"
"01/07/2018","64.30","61.61","64.77","61.34","3.71M","4.65%"
"12/31/2017","61.44","60.20","62.21","60.10","2.40M","1.69%"
"12/24/2017","60.42","58.40","60.51","58.32","1.65M","3.34%"
"12/17/2017","58.47","57.37","58.50","56.82","1.32M","2.04%"
"12/10/2017","57.30","57.25","58.56","56.09","2.88M","-0.10%"
"12/03/2017","57.36","58.32","58.34","55.82","2.95M","-1.71%"
"11/26/2017","58.36","58.95","58.99","56.75","3.40M","-1.00%"
"11/19/2017","58.95","56.69","59.05","55.57","2.07M","4.24%"
"11/12/2017","56.55","56.90","57.15","54.81","2.24M","-0.33%"
"11/05/2017","56.74","55.97","57.92","55.66","3.74M","1.98%"
"10/29/2017","55.64","54.16","55.76","53.75","2.83M","3.23%"
"10/22/2017","53.90","52.07","54.20","51.55","3.30M","4.72%"
"10/15/2017","51.47","51.43","52.37","50.70","1.31M","0.04%"
"10/08/2017","51.45","49.25","51.72","49.13","3.22M","4.38%"
"10/01/2017","49.29","51.64","51.71","49.10","3.06M","-4.61%"
"09/24/2017","51.67","50.68","52.86","50.39","3.40M","1.99%"
"09/17/2017","50.66","49.85","50.81","49.19","1.42M","1.54%"
"09/10/2017","49.89","47.58","50.50","47.00","3.30M","5.08%"
"09/03/2017","47.48","47.28","49.42","47.15","3.37M","0.40%"
"08/27/2017","47.29","47.89","48.20","45.58","4.36M","-1.21%"
"08/20/2017","47.87","48.72","48.75","47.03","2.35M","-1.32%"
"08/13/2017","48.51","48.79","49.16","46.46","3.21M","-0.63%"
"08/06/2017","48.82","49.59","50.22","47.98","4.55M","-1.53%"
"07/30/2017","49.58","49.85","50.43","48.37","4.22M","-0.26%"
"07/23/2017","49.71","45.62","49.81","45.40","4.13M","8.61%"
"07/16/2017","45.77","46.68","47.55","45.54","1.70M","-1.65%"
"07/09/2017","46.54","44.35","46.74","43.65","4.31M","5.22%"
"07/02/2017","44.23","46.28","47.32","43.78","3.64M","-3.93%"
"06/25/2017","46.04","43.16","46.35","42.63","3.62M","7.04%"
"06/18/2017","43.01","44.68","45.06","42.05","2.58M","-3.87%"
"06/11/2017","44.74","45.80","46.71","44.22","3.07M","-2.38%"
"06/04/2017","45.83","47.71","48.42","45.20","4.38M","-3.84%"
"05/28/2017","47.66","49.93","50.28","46.74","3.02M","-4.30%"
"05/21/2017","49.80","50.60","52.00","48.18","3.26M","-1.05%"
"05/14/2017","50.33","47.85","50.53","47.75","2.32M","5.20%"
"05/07/2017","47.84","46.35","48.22","45.53","3.51M","3.50%"
"04/30/2017","46.22","49.17","49.32","43.76","3.72M","-6.30%"
"04/23/2017","49.33","49.68","50.22","48.20","3.17M","-0.58%"
"04/16/2017","49.62","52.97","53.21","49.20","1.38M","-6.69%"
"04/09/2017","53.18","52.31","53.76","52.29","2.27M","1.80%"
"04/02/2017","52.24","50.69","52.94","49.88","2.89M","3.24%"
"03/26/2017","50.60","48.12","50.85","47.08","2.63M","5.48%"
"03/19/2017","47.97","48.70","48.74","47.01","1.77M","-1.66%"
"03/12/2017","48.78","48.45","49.62","47.09","2.80M","0.60%"
"03/05/2017","48.49","53.19","53.80","48.31","3.83M","-9.08%"
"02/26/2017","53.33","54.02","54.61","52.54","2.55M","-1.22%"
"02/19/2017","53.99","53.48","54.94","53.35","1.47M","1.10%"
"02/12/2017","53.40","53.80","53.95","52.68","2.08M","-0.85%"
"02/05/2017","53.86","53.81","54.13","51.22","3.02M","0.06%"
"01/29/2017","53.83","53.15","54.34","52.24","2.61M","1.24%"
"01/22/2017","53.17","53.33","54.08","52.21","2.64M","1.43%"
"01/15/2017","52.42","52.55","53.52","50.91","964.85K","0.10%"
"01/08/2017","52.37","53.75","53.83","50.71","3.15M","-3.00%"
"01/01/2017","53.99","54.20","55.24","52.11","2.29M","0.50%"
